n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_S5_B,56,52.3045247,4.7718602,Txy_S5_S6,61,52.3035561,4.7734649
Rwy_03_006,46,52.3026367,4.7724235,Txy_S5_S6,61,52.3035561,4.7734649
Txy_S5_S6,61,52.3035561,4.7734649,Rwy_03_007,47,52.3032862,4.7741187
Txy_S5_B,56,52.3045247,4.7718602,Txy_S6_B,59,52.3052188,4.7736676
Txy_S6_B,59,52.3052188,4.7736676,Txy_S7_B,60,52.3058602,4.7752978
Txy_S7_B,60,52.3058602,4.7752978,Txy_S7_E,58,52.3051413,4.7758996
Txy_S7_E,58,52.3051413,4.7758996,Rwy_03_009,49,52.304244,4.7766131
Txy_S7_E,58,52.3051413,4.7758996,Rwy_03_008,48,52.303893,4.7757227
Txy_S6_B,59,52.3052188,4.7736676,Txy_S5_S6,61,52.3035561,4.7734649
Txy_A8_A,74,52.3064365,4.77481,Txy_A8_B,75,52.3064234,4.7758507
Txy_A8_B,75,52.3064234,4.7758507,Txy_S7_B,60,52.3058602,4.7752978
Txy_A8_A,74,52.3064365,4.77481,Txy_S7_B,60,52.3058602,4.7752978
Txy_A7_A,73,52.3059232,4.7729384,Txy_A8_A,74,52.3064365,4.77481
Txy_A7_A,73,52.3059232,4.7729384,Txy_S6_B,59,52.3052188,4.7736676
Txy_A6_A,72,52.3052378,4.7711423,Txy_A7_A,73,52.3059232,4.7729384
Txy_A6_A,72,52.3052378,4.7711423,Txy_S5_B,56,52.3045247,4.7718602
Txy_A5_A,71,52.3047947,4.7699906,Txy_A5_B,57,52.3040786,4.7706908
Txy_A5_A,71,52.3047947,4.7699906,Txy_A6_A,72,52.3052378,4.7711423
Txy_A4_A,70,52.3036141,4.7669266,Txy_A5_A,71,52.3047947,4.7699906
Txy_A4_A,70,52.3036141,4.7669266,Txy_S4_B,55,52.3028339,4.7674677
Txy_A4_A,70,52.3036141,4.7669266,Txy_A4E_A,69,52.3033386,4.7662051
Txy_A4E_A,69,52.3033386,4.7662051,Txy_A4W_A,68,52.3030729,4.765505
Txy_A4W_A,68,52.3030729,4.765505,Txy_A3_A,67,52.3019099,4.7624927
Txy_A3_A,67,52.3019099,4.7624927,Txy_A3_B,54,52.301174,4.7631282
Txy_A3_A,67,52.3019099,4.7624927,Txy_A2_A,66,52.3005293,4.7588989
Txy_A2_A,66,52.3005293,4.7588989,Txy_S3_B,53,52.299829,4.7596274
Txy_A2_A,66,52.3005293,4.7588989,Txy_A1C_A,65,52.2997617,4.75689
Txy_A1B_A,64,52.2993106,4.7557098,Txy_A1C_A,65,52.2997617,4.75689
Txy_A1A_A,63,52.2988448,4.7545001,Txy_A1B_A,64,52.2993106,4.7557098
Txy_A_Q,62,52.2981563,4.7524365,Txy_A1A_A,63,52.2988448,4.7545001
Txy_A_Q,62,52.2981563,4.7524365,Txy_Q_R,52,52.2976899,4.7537544
Txy_A_Q,62,52.2981563,4.7524365,Txy_S2_R,51,52.2974373,4.7523811
Rwy_04_001,76,52.2909731,4.7773535,Rwy_04_002,77,52.3035197,4.7785197
Rwy_04_003,78,52.30453,4.7786055,Rwy_04_002,77,52.3035197,4.7785197
Rwy_04_004,79,52.3082508,4.778964,Rwy_04_003,78,52.30453,4.7786055
Rwy_04_005,80,52.3124554,4.7793503,Rwy_04_004,79,52.3082508,4.778964
Rwy_04_006,81,52.3135638,4.7794468,Rwy_04_005,80,52.3124554,4.7793503
Rwy_04_007,82,52.3160129,4.7796809,Rwy_04_006,81,52.3135638,4.7794468
Rwy_04_05,83,52.3178073,4.7798666,Rwy_04_007,82,52.3160129,4.7796809
Rwy_04_05,83,52.3178073,4.7798666,Rwy_04_008,84,52.3212044,4.7801563
Rwy_04_003,78,52.30453,4.7786055,Txy_E_E1,85,52.3052946,4.7772424
Txy_E_E1,85,52.3052946,4.7772424,Rwy_04_002,77,52.3035197,4.7785197
Txy_A8_B,75,52.3064234,4.7758507,Txy_E_E1,85,52.3052946,4.7772424
Txy_A8_B,75,52.3064234,4.7758507,Txy_A9_B,86,52.3083144,4.7760429
Txy_A9_B,86,52.3083144,4.7760429,Txy_A10_B,87,52.310257,4.7762262
Txy_A10_B,87,52.310257,4.7762262,Txy_A11_B,88,52.3114785,4.7763251
Txy_A11_B,88,52.3114785,4.7763251,Rwy_04_004,79,52.3082508,4.778964
Txy_A12_B,89,52.3128121,4.7764653,Txy_A11_B,88,52.3114785,4.7763251
Txy_A11_B,88,52.3114785,4.7763251,Rwy_04_005,80,52.3124554,4.7793503
Txy_A12_B,89,52.3128121,4.7764653,Rwy_04_006,81,52.3135638,4.7794468
Txy_A12_B,89,52.3128121,4.7764653,Txy_B_001,133,52.3153341,4.7602502
Txy_P2_B,94,52.3152221,4.7754383,Txy_B_001,133,52.3153341,4.7602502
Txy_P2_B,94,52.3152221,4.7754383,Txy_E5_001,108,52.3160965,4.7827604
Txy_P2_B,94,52.3152221,4.7754383,Txy_E5_002,93,52.3158419,4.7749716
Txy_E5_001,108,52.3160965,4.7827604,Txy_E5_002,93,52.3158419,4.7749716
Txy_E5_001,108,52.3160965,4.7827604,Rwy_04_007,82,52.3160129,4.7796809
Txy_E5_002,93,52.3158419,4.7749716,Txy_E5_B,91,52.3157927,4.7737861
Txy_E5_B,91,52.3157927,4.7737861,Txy_P2_B,94,52.3152221,4.7754383
Txy_N2_B,96,52.3157709,4.7729486,Txy_E5_B,91,52.3157927,4.7737861
Txy_N2_B,96,52.3157709,4.7729486,Txy_N2_001,95,52.3167532,4.7754309
Txy_N2_001,95,52.3167532,4.7754309,Txy_E5_002,93,52.3158419,4.7749716
Rwy_04_008,84,52.3212044,4.7801563,Txy_E6_001,97,52.32125,4.7789752
