link_name,avg_speed,actype
0_526,4.0,A319
0_526,2.0,A320
0_526,9.0,A321
0_526,5.0,A321
0_526,4.0,B752
100_719,12.0,B712
100_719,17.0,B712
100_719,8.0,B737
100_719,8.0,B737
100_719,6.0,B737
100_719,9.0,B737
101_626,14.0,B712
101_626,14.0,B712
101_626,15.0,B712
101_626,17.0,B712
101_626,15.0,B712
101_626,7.0,B737
101_626,7.0,B737
101_626,0.0,CRJ7
101_626,10.0,CRJ9
101_626,8.0,CRJ9
10_536,13.0,A319
10_536,8.0,A320
10_536,21.0,A320
10_536,7.0,A321
10_536,13.0,B739
10_536,12.0,B752
112_634,10.0,B712
112_634,3.0,B712
112_634,12.0,B737
112_634,19.0,B738
112_634,14.0,CRJ9
113_723,10.0,A20N
113_723,14.0,B712
113_723,5.0,B712
113_723,16.0,B737
113_723,19.0,B737
113_723,10.0,B737
113_723,21.0,B738
113_723,13.0,CRJ9
114_637,8.0,B712
114_637,8.0,B712
114_637,7.0,B712
114_637,16.0,B712
114_637,15.0,B712
114_637,7.0,B712
114_637,17.0,B737
114_637,10.0,B737
114_637,15.0,B737
114_637,12.0,CRJ9
114_637,0.0,CRJ9
115_635,19.0,A319
115_635,14.0,B712
115_635,18.0,B712
115_635,12.0,B712
115_635,11.0,B712
115_635,12.0,B712
115_635,16.0,B712
115_635,13.0,B737
115_635,7.0,B737
115_635,15.0,B737
115_635,19.0,B738
115_635,2.0,CRJ9
117_652,7.0,A319
117_652,14.0,B712
117_652,14.0,B712
117_652,9.0,B712
117_652,14.0,B738
118_652,7.0,A319
118_652,9.0,B712
118_652,10.0,B712
118_652,14.0,B712
118_652,14.0,B738
118_652,14.0,B738
118_652,9.0,E75S
119_653,11.0,A319
119_653,8.0,A319
119_653,7.0,B712
119_653,8.0,B712
119_653,10.0,B738
119_653,9.0,B752
119_653,11.0,CRJ9
119_653,9.0,E75S
11_537,13.0,A319
11_537,19.0,A320
11_537,15.0,B739
11_537,7.0,B739
11_537,15.6667,VEH
12_538,12.0,A319
12_538,4.0,A320
12_538,12.0,A320
12_538,10.0,A320
12_538,5.0,A321
12_538,14.0,A321
12_538,16.0,B738
12_538,10.0,B738
12_538,0.0,B738
12_538,10.0,B739
12_538,10.0,B739
12_538,8.0,B739
12_538,13.0,B752
130_664,11.0,A20N
130_664,7.0,A20N
130_664,12.0,A321
130_664,13.0,A321
130_664,7.0,A321
130_664,10.0,A321
130_664,10.0,A321
130_664,5.0,A359
130_664,13.0,B712
130_664,3.0,B738
130_664,13.0,CRJ7
130_664,7.0,CRJ9
130_664,19.0,CRJ9
130_664,10.0,CRJ9
130_664,7.0,E75S
130_664,7.0,E75S
131_665,13.0,A319
131_665,13.0,A320
131_665,10.0,A321
131_665,13.0,A321
131_665,19.0,A359
131_665,14.0,B712
131_665,15.0,B712
131_665,17.0,B739
131_665,13.0,B752
131_665,7.25,B763
131_665,12.0,CRJ9
13_539,11.0,A20N
13_539,13.0,A319
13_539,11.0,A320
13_539,8.0,A320
13_539,10.0,A321
13_539,9.0,A321
13_539,8.0,B738
13_539,3.0,B739
13_539,13.0,B752
142_676,8.25,A20N
142_676,4.3333,A20N
142_676,4.0,A20N
142_676,4.0,A319
142_676,8.0,A319
142_676,5.0,A319
142_676,8.3333,A320
142_676,7.0,A320
142_676,10.0,A320
142_676,6.2857,A321
142_676,11.0,A321
143_741,6.0,A20N
143_741,3.5714,A20N
143_741,3.75,A20N
143_741,5.5385,A20N
143_741,5.0,A319
143_741,8.0,A320
143_741,8.3333,A321
143_741,3.75,A321
143_741,11.0,B39M
143_741,13.0,B712
144_677,1.25,A20N
144_677,10.0,A320
144_677,7.0,A320
144_677,12.0,B763
145_710,12.0,A20N
145_710,5.4444,A320
145_710,8.0,B752
145_710,9.0,B752
145_710,6.0,B752
145_710,7.7143,B763
146_678,13.0,A320
146_678,12.0,A320
146_678,6.0,A320
146_678,2.25,B738
146_678,12.0,B738
146_678,10.0,B752
146_678,11.0,B752
146_678,6.0,B752
146_678,11.0,B763
146_678,5.0,B763
148_678,8.0,A20N
148_678,12.0,A321
148_678,4.625,B738
148_678,12.0,B738
148_678,4.0,B738
148_678,7.5,B752
148_678,7.0,B752
148_678,5.0,B763
148_678,11.0,B763
148_678,12.0,B764
149_679,10.0,A20N
149_679,6.0,B738
149_679,5.0,B752
149_679,4.6667,B763
149_679,7.0,CRJ7
156_683,11.0,B39M
156_683,4.6667,B752
157_684,4.5,B739
159_659,7.0,CRJ9
160_698,0.0,B763
160_698,15.5,B763
162_163,132.0,A20N
162_163,131.0,A20N
162_163,133.0,A20N
162_163,128.0,A20N
162_163,133.0,A20N
162_163,135.0,A21N
162_163,134.0,A21N
162_163,130.0,A306
162_163,131.0,A319
162_163,127.0,A319
162_163,130.0,A319
162_163,134.0,A320
162_163,133.5,A320
162_163,137.0,A320
162_163,134.0,A320
162_163,128.0,A320
162_163,139.0,A320
162_163,137.0,A320
162_163,132.0,A320
162_163,139.0,A320
162_163,127.0,A320
162_163,135.0,A320
162_163,146.0,A321
162_163,140.0,A321
162_163,144.0,A321
162_163,139.0,A321
162_163,142.0,A321
162_163,142.0,A321
162_163,145.0,A321
162_163,143.0,A321
162_163,144.0,A321
162_163,131.0,A332
162_163,134.0,A333
162_163,139.0,A339
162_163,133.0,A359
162_163,139.0,A359
162_163,15.0,B350
162_163,154.0,B38M
162_163,144.0,B38M
162_163,146.0,B38M
162_163,154.0,B38M
162_163,140.0,B712
162_163,139.0,B712
162_163,136.0,B712
162_163,131.0,B712
162_163,136.0,B712
162_163,142.0,B712
162_163,145.0,B712
162_163,140.0,B712
162_163,140.5,B712
162_163,142.0,B712
162_163,139.0,B712
162_163,145.0,B712
162_163,132.0,B712
162_163,137.0,B712
162_163,138.0,B712
162_163,142.0,B712
162_163,141.0,B712
162_163,136.0,B712
162_163,138.0,B712
162_163,142.0,B712
162_163,139.0,B712
162_163,142.0,B737
162_163,140.0,B737
162_163,147.0,B738
162_163,146.5,B738
162_163,146.5,B738
162_163,147.0,B738
162_163,156.0,B738
162_163,146.0,B738
162_163,151.0,B738
162_163,150.0,B738
162_163,149.0,B738
162_163,161.0,B739
162_163,150.0,B739
162_163,161.0,B739
162_163,153.0,B739
162_163,153.0,B739
162_163,146.0,B739
162_163,149.0,B739
162_163,145.0,B739
162_163,152.0,B739
162_163,150.0,B739
162_163,149.5,B739
162_163,148.0,B739
162_163,147.0,B739
162_163,147.5,B739
162_163,145.5,B739
162_163,151.0,B739
162_163,156.0,B739
162_163,147.0,B739
162_163,148.0,B739
162_163,154.0,B739
162_163,155.0,B748
162_163,139.0,B752
162_163,137.0,B752
162_163,138.5,B752
162_163,129.0,B752
162_163,130.0,B752
162_163,130.0,B752
162_163,140.0,B752
162_163,132.0,B752
162_163,131.0,B752
162_163,139.0,B752
162_163,143.0,B752
162_163,132.0,B752
